arquivo,linha,tag,texto,href,classes,style_inline,disabled
templates/admin/editar_usuario.html,1,a,Cancelar,{{ url_for('admin_users.users_list') }},btn btn-warning,-,False
templates/admin/editar_usuario.html,1,a,Dashboard,{{ url_for('auth.dashboard') }},nav-btn nav-btn-secondary,-,False
templates/admin/editar_usuario.html,1,a,Usuários,{{ url_for('admin_users.users_list') }},nav-btn nav-btn-secondary,-,False
templates/admin/editar_usuario.html,1,button,Cancelar,-,btn btn-link btn-sm p-0 text-danger,-,False
templates/admin/editar_usuario.html,1,button,Remover Foto,-,btn btn-outline-danger btn-sm,-,False
templates/admin/editar_usuario.html,1,button,Salvar Alterações,-,btn btn-success,-,False
templates/admin/gerenciar_usuario.html,1,a,Cancelar,{{ url_for('admin_users.users_list') }},btn btn-outline-secondary,-,False
templates/admin/gerenciar_usuario.html,1,a,Voltar,{{ url_for('admin_users.users_list') }},nav-btn nav-btn-secondary,-,False
templates/admin/gerenciar_usuario.html,1,button,-,-,btn btn-outline-secondary,-,False
templates/admin/gerenciar_usuario.html,1,button,Salvar Alterações,-,btn btn-primary,-,False
templates/admin/perfil_admin.html,1,a,Cancelar,{{ url_for('admin_users.users_list') }},btn btn-outline-secondary,-,False
templates/admin/perfil_admin.html,1,a,Voltar,{{ url_for('admin_users.users_list') }},nav-btn nav-btn-secondary,-,False
templates/admin/perfil_admin.html,1,button,-,-,btn btn-outline-secondary,-,False
templates/admin/perfil_admin.html,1,button,Salvar Alterações,-,btn btn-primary,-,False
templates/admin/usuarios.html,1,a,-,"{{ url_for('permissoes.visualizar_permissoes', usuario_id=user_item.id) }}",tbl-btn view,-,False
templates/admin/usuarios.html,1,a,-,"{{ url_for('perfil.index', user_id=user_item.id) }}",tbl-btn edit,-,False
templates/admin/usuarios.html,1,a,Dashboard,{{ url_for('auth.dashboard') }},nav-btn nav-btn-secondary,-,False
templates/admin/usuarios.html,1,a,Limpar,{{ url_for('admin_users.users_list') }},btn btn-limpar ms-2,-,False
templates/admin/usuarios.html,1,a,Limpar Filtros,{{ url_for('admin_users.users_list') }},nav-btn nav-btn-secondary,-,False
templates/admin/usuarios.html,1,a,Novo Usuário,{{ url_for('auth.novo_usuario') }},nav-btn nav-btn-primary,-,False
templates/admin/usuarios.html,1,a,Perfis de Permissão,{{ url_for('permissoes.listar_perfis') }},nav-btn nav-btn-secondary,-,False
templates/admin/usuarios.html,1,button,-,-,tbl-btn del,-,False
templates/admin/usuarios.html,1,button,-,-,btn-close btn-close-white,-,False
templates/admin/usuarios.html,1,button,Cancelar,-,nav-btn nav-btn-secondary,-,False
templates/admin/usuarios.html,1,button,Confirmar Inativação,-,btn btn-danger,-,False
templates/admin/usuarios.html,1,button,Filtrar,-,btn-filter-apply,-,False
templates/admin/usuarios.html,1,span,-,-,tbl-btn,opacity:.35;cursor:default;,False
templates/admin/usuarios.html,1,span,-,-,tbl-btn,opacity:.25;cursor:default;,False
templates/apresentantes/editar.html,1,a,Apresentantes,{{ url_for('apresentantes.index') }},nav-btn nav-btn-secondary,-,False
templates/apresentantes/editar.html,1,a,Cancelar,"{{ url_for('apresentantes.visualizar', apresentante_id=apresentante.id) }}",nt-btn-cancel,-,False
templates/apresentantes/editar.html,1,a,Histórico,"{{ url_for('apresentantes.visualizar', apresentante_id=apresentante.id) }}",nav-btn nav-btn-secondary,-,False
templates/apresentantes/editar.html,1,button,Salvar Alterações,-,nt-btn-save,-,False
templates/apresentantes/index.html,1,a,-,"{{ url_for('apresentantes.editar', apresentante_id=apresentante.id) }}",nav-btn nav-btn-primary,height:28px;padding:0 10px;font-size:12px;,False
templates/apresentantes/index.html,1,a,Histórico,"{{ url_for('apresentantes.visualizar', apresentante_id=apresentante.id) }}",nav-btn nav-btn-info,height:28px;padding:0 10px;font-size:12px;,False
templates/apresentantes/index.html,1,a,Limpar,{{ url_for('apresentantes.index') }},nav-btn nav-btn-danger flex-fill,justify-content:center;,False
templates/apresentantes/index.html,1,a,Novo Apresentante,{{ url_for('apresentantes.novo') }},nav-btn nav-btn-primary,-,False
templates/apresentantes/index.html,1,button,-,-,nav-btn nav-btn-danger btn-excluir-apresentante,height:28px;padding:0 10px;font-size:12px;,False
templates/apresentantes/index.html,1,button,-,-,btn-close btn-close-white,-,False
templates/apresentantes/index.html,1,button,Cancelar,-,nav-btn nav-btn-secondary,-,False
templates/apresentantes/index.html,1,button,Excluir,-,nav-btn nav-btn-danger,-,False
templates/apresentantes/index.html,1,button,Exportar,-,nav-btn nav-btn-secondary dropdown-toggle,-,False
templates/apresentantes/index.html,1,button,Filtrar,-,nav-btn nav-btn-success flex-fill,-,False
templates/apresentantes/index.html,1,button,Imprimir,-,nav-btn nav-btn-secondary,-,False
templates/apresentantes/index.html,1,span,-,-,nav-btn nav-btn-primary,height:28px;padding:0 10px;font-size:12px;opacity:.4;cursor:not-allowed;pointer-events:none;,False
templates/apresentantes/index.html,1,span,-,-,nav-btn nav-btn-danger,height:28px;padding:0 10px;font-size:12px;opacity:.4;cursor:not-allowed;pointer-events:none;,False
templates/apresentantes/novo.html,1,a,Apresentantes,{{ url_for('apresentantes.index') }},nav-btn nav-btn-secondary,-,False
templates/apresentantes/novo.html,1,a,Cancelar,{{ url_for('apresentantes.index') }},nt-btn-cancel,-,False
templates/apresentantes/novo.html,1,button,Cadastrar Apresentante,-,nt-btn-save,-,False
templates/apresentantes/visualizar.html,1,a,Editar,"{{ url_for('apresentantes.editar', apresentante_id=apresentante.id) }}",nav-btn nav-btn-primary,-,False
templates/apresentantes/visualizar.html,1,a,Ver,"{{ url_for('processos.visualizar', processo_id=processo.id) }}",nav-btn nav-btn-secondary,height:28px;padding:0 10px;font-size:12px;,False
templates/apresentantes/visualizar.html,1,a,Voltar,{{ url_for('apresentantes.index') }},nav-btn nav-btn-secondary,-,False
templates/apresentantes/visualizar.html,1,button,-,-,btn-close btn-close-white,-,False
templates/apresentantes/visualizar.html,1,button,Cancelar,-,nav-btn nav-btn-secondary,-,False
templates/apresentantes/visualizar.html,1,button,Excluir,-,nav-btn nav-btn-danger,-,False
templates/apresentantes/visualizar.html,1,button,Excluir,-,nav-btn nav-btn-danger,-,False
templates/apresentantes/visualizar.html,1,span,Editar,-,nav-btn nav-btn-secondary,opacity:.45;cursor:not-allowed;pointer-events:none;,False
templates/atividades.html,1,a,Consultar Processo,#,btn btn-success,display:none;,False
templates/atividades.html,1,a,Dashboard,{{ url_for('auth.dashboard') }},nav-btn nav-btn-secondary,-,False
templates/atividades.html,1,a,Limpar,{{ url_for('atividades.historico') }},btn-filter-clear,-,False
templates/atividades.html,1,a,Limpar Filtros,{{ url_for('atividades.historico') }},nav-btn nav-btn-secondary,-,False
templates/atividades.html,1,button,-,-,btn-close,-,False
templates/atividades.html,1,button,Fechar,-,btn btn-danger,-,False
templates/atividades.html,1,button,Filtrar,-,btn-filter-apply,-,False
templates/atividades.html,1,button,{{ acao_tipo }} {% if acao_desc %} : {{ acao_desc }} {% endif %},-,btn-acao-clicavel,-,False
templates/backup.html,1,a,-,{{ backup.download_url }},nav-btn nav-btn-secondary rf-backup-action,-,False
templates/backup.html,1,a,Dashboard,{{ url_for('auth.dashboard') }},nav-btn nav-btn-secondary,-,False
templates/backup.html,1,button,-,-,nav-btn nav-btn-danger btn-delete-backup rf-backup-action,-,False
templates/backup.html,1,button,-,-,nav-btn nav-btn-secondary rf-backup-action,-,False
templates/backup.html,1,button,-,-,btn-close btn-close-white,-,False
templates/backup.html,1,button,Cancelar,-,nav-btn nav-btn-secondary,-,False
templates/backup.html,1,button,Excluir Permanentemente,-,nav-btn nav-btn-danger,-,False
templates/backup.html,1,button,Gerar Backup Agora,-,nav-btn nav-btn-primary rf-backup-primary-action,-,False
templates/backup.html,1,button,Reparar BD,-,nav-btn rf-backup-warning-action,-,False
templates/backup.html,1,button,Testar Banco,-,nav-btn rf-backup-info-action,-,False
templates/base.html,1,button,-,-,btn-close btn-close-white,-,False
templates/base.html,1,button,-,-,btn-close rf-search-close,-,False
templates/base.html,1,button,-,-,btn-close,-,False
templates/base.html,1,button,-,-,btn-close btn-close-white rf-about-close,-,False
templates/base.html,1,button,Cancelar,-,nav-btn nav-btn-secondary,-,False
