	
path	lines	inline_styles	style_blocks	extends
./static/documentacao.html	901	2	1	0
./templates/_activity_filter_toolbar.html	79	0	0	0
./templates/_cadastro_filter_toolbar.html	28	0	0	0
./templates/_config_about_panel.html	40	0	0	0
./templates/_config_activity_panel.html	51	0	0	0
./templates/_config_event_panel.html	154	0	0	0
./templates/_users_filter_toolbar.html	19	0	0	0
./templates/admin/editar_usuario.html	417	0	0	1
./templates/admin/gerenciar_usuario.html	321	0	0	1
./templates/admin/perfil_admin.html	321	0	0	1
./templates/admin/usuarios.html	226	0	0	1
./templates/apresentantes/editar.html	210	0	0	1
./templates/apresentantes/index.html	175	0	0	1
./templates/apresentantes/novo.html	221	0	0	1
./templates/apresentantes/visualizar.html	165	1	0	1
./templates/atividades.html	459	1	1	1
./templates/auditoria.html	87	0	1	1
./templates/backup.html	806	6	1	1
./templates/base.html	574	0	2	0
./templates/configuracoes.html	1333	40	1	1
./templates/dashboard.html	425	0	0	1
./templates/login.html	200	0	1	0
./templates/logout.html	133	2	1	1
./templates/metricas.html	1188	4	1	1
./templates/novo_usuario.html	274	0	1	0
./templates/perfil.html	401	1	1	1
./templates/perfil_permissao_detalhe.html	176	0	0	1
./templates/perfis_permissao.html	156	0	0	1
./templates/permissoes_usuario.html	327	0	0	1
./templates/processos/_filter_toolbar.html	91	0	0	0
./templates/processos/editar.html	691	9	0	1
./templates/processos/em_andamento.html	192	2	0	1
./templates/processos/hoje.html	197	2	0	1
./templates/processos/novo.html	634	9	0	1
./templates/processos/pendentes.html	194	2	0	1
./templates/processos/todos.html	128	5	0	1
./templates/processos/vinculados.html	191	2	0	1
./templates/processos/visualizar.html	432	1	1	1
./templates/recuperar_senha.html	165	0	1	0
./templates/relatorios/_cadastros_print_styles.html	155	0	1	0
./templates/relatorios/apresentantes_print.html	86	10	0	0
./templates/relatorios/historico_processo_print.html	157	7	1	0
./templates/relatorios/processos_print.html	182	11	1	0
./templates/relatorios/relatorio_processo_print.html	214	9	1	0
./templates/relatorios/titulares_print.html	86	10	0	0
./templates/reset_password.html	234	0	1	0
./templates/titulares/editar.html	210	0	0	1
./templates/titulares/index.html	175	0	0	1
./templates/titulares/novo.html	221	0	0	1
./templates/titulares/visualizar.html	165	1	0	1
